ticket_id,subject,message,priority
TKT-0030,Verdacht auf Datenverlust in VPN,"In VPN fehlen seit Schichtbeginn Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Support wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0098,Produktionsstillstand wegen Problemen mit Intranet,"Durch Probleme mit Intranet besteht Produktionsstillstand. Der Prozess Datenexport steht, und im Rechenzentrum können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0075,Störung bei Citrix im Rechenzentrum,Wir haben eine anhaltende Störung in Citrix. Seit Schichtbeginn kommt es zu Zugriffsprobleme; der Ablauf in Vertrieb ist stark eingeschränkt.,hoch
TKT-0090,Verdacht auf Datenverlust in Intranet,"In Intranet fehlen seit 45 Minuten Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Vertrieb wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0111,Anfrage zu Netzlaufwerk,Ich habe eine Anfrage zu Netzlaufwerk. Es geht um das Thema Versionierung. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0177,Optimierung von E-Mail,Dieses Ticket betrifft eine Optimierung von E-Mail im Bereich Ordnerstruktur. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0008,Produktionsstillstand wegen Problemen mit WLAN,"Durch Probleme mit WLAN besteht Produktionsstillstand. Der Prozess Datenexport steht, und im Außendienst können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0059,Sicherheitsvorfall in SAP,Es besteht der Verdacht auf einen Sicherheitsvorfall in SAP. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0139,Empfehlung zur Nutzung von Monitoring,"Wir bitten um eine Empfehlung zur Nutzung von Monitoring im Zusammenhang mit Meeting-Aufzeichnung. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0058,Produktionsstillstand wegen Problemen mit E-Mail,"Durch Probleme mit E-Mail besteht Produktionsstillstand. Der Prozess Datenexport steht, und im Rechenzentrum können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0116,Verbesserung für Citrix,"Es handelt sich um eine Verbesserung an Citrix. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0123,Information zu Passwortrichtlinie in Active Directory,Wir benötigen lediglich eine Information zu Passwortrichtlinie in Active Directory. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0124,Später umsetzen: farbliche Markierung in Intranet,"Die Anpassung farbliche Markierung in Intranet wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0153,Information zu Meeting-Aufzeichnung in Ticketsystem,Wir benötigen lediglich eine Information zu Meeting-Aufzeichnung in Ticketsystem. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0168,Komfort-Anpassung in Dateiserver,"Gewünscht ist eine kleine Komfort-Anpassung in Dateiserver, zum Beispiel Export nach Excel. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0078,Produktionsstillstand wegen Problemen mit Dateiserver,"Durch Probleme mit Dateiserver besteht Produktionsstillstand. Der Prozess Schichtplanung steht, und im Standort Berlin können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0148,Komfort-Anpassung in Intranet,"Gewünscht ist eine kleine Komfort-Anpassung in Intranet, zum Beispiel Startseiten-Anpassung. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0047,Blockiert: Zugriff auf WLAN für Support,Mehrere Konten sind blockiert und der Zugriff auf WLAN ist nicht möglich. Support ist dadurch vollständig blockiert.,hoch
TKT-0003,Sofort prüfen: Dateiserver verhindert Anmeldung,Bitte sofort eingreifen. Dateiserver verhindert aktuell Anmeldung; die Mitarbeitenden aus Finanzen melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0081,Kritisch: Netzlaufwerk verursacht massive Probleme in HR,Der Vorfall ist kritisch. In Netzlaufwerk treten Serverfehler auf und mehrere Nutzer aus HR können Kundensupport nicht mehr ausführen. Der Betrieb im Rechenzentrum ist deutlich beeinträchtigt.,hoch
TKT-0180,Nachrangig: Rückfrage zu SAP,Das Anliegen ist ausdrücklich nachrangig. Zu SAP gibt es eine Rückfrage zu Passwortrichtlinie; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0151,Anfrage zu VPN,Ich habe eine Anfrage zu VPN. Es geht um das Thema Meeting-Aufzeichnung. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0074,Ausfall von CRM im Außendienst,"Es liegt ein kompletter Ausfall von CRM vor. Seit 20 Minuten ist der Dienst im Außendienst nicht erreichbar, wodurch Anmeldung nicht mehr möglich ist.",hoch
TKT-0007,Blockiert: Zugriff auf Backup-System für Support,Mehrere Konten sind blockiert und der Zugriff auf Backup-System ist nicht möglich. Support ist dadurch vollständig blockiert.,hoch
TKT-0191,Anfrage zu SAP,Ich habe eine Anfrage zu SAP. Es geht um das Thema Ordnerstruktur. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0131,Anfrage zu Backup-System,Ich habe eine Anfrage zu Backup-System. Es geht um das Thema Nutzungsdauer. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0037,Blockiert: Zugriff auf Active Directory für Vertrieb,Mehrere Konten sind blockiert und der Zugriff auf Active Directory ist nicht möglich. Vertrieb ist dadurch vollständig blockiert.,hoch
TKT-0088,Produktionsstillstand wegen Problemen mit Microsoft Teams,"Durch Probleme mit Microsoft Teams besteht Produktionsstillstand. Der Prozess Datenexport steht, und im Standort Berlin können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0183,Information zu Mobilzugriff in Dateiserver,Wir benötigen lediglich eine Information zu Mobilzugriff in Dateiserver. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0125,Optional: Export nach Excel für Microsoft Teams,"Die Funktion Export nach Excel wäre optional für Einkauf. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0021,Kritisch: Monitoring verursacht massive Probleme in Einkauf,Der Vorfall ist kritisch. In Monitoring treten Verbindungsabbrüche auf und mehrere Nutzer aus Einkauf können Datenexport nicht mehr ausführen. Der Betrieb im Standort Berlin ist deutlich beeinträchtigt.,hoch
TKT-0012,Dringend: Active Directory muss umgehend geprüft werden,"Bitte dringend bearbeiten. Active Directory zeigt Authentifizierungsfehler, wodurch Management aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0170,Nachrangig: Rückfrage zu Active Directory,Das Anliegen ist ausdrücklich nachrangig. Zu Active Directory gibt es eine Rückfrage zu Versionierung; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0121,Anfrage zu SAP,Ich habe eine Anfrage zu SAP. Es geht um das Thema Ordnerstruktur. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0132,Wunsch: Dark Mode in Active Directory,"Für Management besteht der Wunsch, in Active Directory Dark Mode einzurichten. Das ist eine reine Erweiterung ohne Auswirkung auf den laufenden Betrieb.",niedrig
TKT-0147,Optimierung von Dateiserver,Dieses Ticket betrifft eine Optimierung von Dateiserver im Bereich Druckereinstellung. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0085,Störung bei Backup-System im Rechenzentrum,Wir haben eine anhaltende Störung in Backup-System. Seit Schichtbeginn kommt es zu Serverfehler; der Ablauf in Support ist stark eingeschränkt.,hoch
TKT-0166,Verbesserung für Microsoft Teams,"Es handelt sich um eine Verbesserung an Microsoft Teams. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0150,Nachrangig: Rückfrage zu Backup-System,Das Anliegen ist ausdrücklich nachrangig. Zu Backup-System gibt es eine Rückfrage zu Versionierung; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0101,Anfrage zu Citrix,Ich habe eine Anfrage zu Citrix. Es geht um das Thema Druckereinstellung. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0009,Sicherheitsvorfall in E-Mail,Es besteht der Verdacht auf einen Sicherheitsvorfall in E-Mail. Ungewöhnliche Aktivitäten wurden erkannt; bitte sofort prüfen und priorisiert behandeln.,hoch
TKT-0062,Dringend: Monitoring muss umgehend geprüft werden,"Bitte dringend bearbeiten. Monitoring zeigt Fehlermeldungen, wodurch Logistik aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0071,Kritisch: Citrix verursacht massive Probleme in Support,Der Vorfall ist kritisch. In Citrix treten Synchronisationsfehler auf und mehrere Nutzer aus Support können Kundensupport nicht mehr ausführen. Der Betrieb im Head Office ist deutlich beeinträchtigt.,hoch
TKT-0164,Später umsetzen: Startseiten-Anpassung in VPN,"Die Anpassung Startseiten-Anpassung in VPN wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0189,Empfehlung zur Nutzung von CRM,"Wir bitten um eine Empfehlung zur Nutzung von CRM im Zusammenhang mit Druckereinstellung. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0104,Später umsetzen: zusätzlicher Report in ERP,"Die Anpassung zusätzlicher Report in ERP wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0176,Verbesserung für WLAN,"Es handelt sich um eine Verbesserung an WLAN. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0193,Information zu Passwortrichtlinie in CRM,Wir benötigen lediglich eine Information zu Passwortrichtlinie in CRM. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0181,Anfrage zu VPN,Ich habe eine Anfrage zu VPN. Es geht um das Thema Passwortrichtlinie. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0024,Ausfall von Ticketsystem im Außendienst,"Es liegt ein kompletter Ausfall von Ticketsystem vor. Seit 2 Stunden ist der Dienst im Außendienst nicht erreichbar, wodurch Kundensupport nicht mehr möglich ist.",hoch
TKT-0114,Später umsetzen: Archivsuche in CRM,"Die Anpassung Archivsuche in CRM wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0087,Blockiert: Zugriff auf WLAN für Support,Mehrere Konten sind blockiert und der Zugriff auf WLAN ist nicht möglich. Support ist dadurch vollständig blockiert.,hoch
TKT-0053,Sofort prüfen: SSO verhindert Datenexport,Bitte sofort eingreifen. SSO verhindert aktuell Datenexport; die Mitarbeitenden aus Einkauf melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0198,Komfort-Anpassung in Microsoft Teams,"Gewünscht ist eine kleine Komfort-Anpassung in Microsoft Teams, zum Beispiel Archivsuche. Das ist nur ein Nice-to-have ohne operative Auswirkungen.",niedrig
TKT-0144,Später umsetzen: Signaturvorlage in SSO,"Die Anpassung Signaturvorlage in SSO wäre hilfreich, ist aber klar für später vorgesehen. Es gibt keine Blockade und keinen Zeitdruck.",niedrig
TKT-0197,Optimierung von Ticketsystem,Dieses Ticket betrifft eine Optimierung von Ticketsystem im Bereich Versionierung. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0156,Verbesserung für ERP,"Es handelt sich um eine Verbesserung an ERP. Der aktuelle Prozess funktioniert, wir möchten ihn lediglich etwas benutzerfreundlicher gestalten.",niedrig
TKT-0094,Ausfall von Intranet im Standort München,"Es liegt ein kompletter Ausfall von Intranet vor. Seit 2 Stunden ist der Dienst im Standort München nicht erreichbar, wodurch Schichtplanung nicht mehr möglich ist.",hoch
TKT-0120,Nachrangig: Rückfrage zu Microsoft Teams,Das Anliegen ist ausdrücklich nachrangig. Zu Microsoft Teams gibt es eine Rückfrage zu Passwortrichtlinie; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0129,Empfehlung zur Nutzung von Backup-System,"Wir bitten um eine Empfehlung zur Nutzung von Backup-System im Zusammenhang mit Meeting-Aufzeichnung. Kein Ausfall, keine Einschränkung, nur Beratungsbedarf.",niedrig
TKT-0033,Sofort prüfen: E-Mail verhindert Kundensupport,Bitte sofort eingreifen. E-Mail verhindert aktuell Kundensupport; die Mitarbeitenden aus Management melden durchgehend Fehlermeldungen und können ihre Arbeit nicht fortsetzen.,hoch
TKT-0145,Optional: Startseiten-Anpassung für SAP,"Die Funktion Startseiten-Anpassung wäre optional für Finanzen. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0006,Intranet ist für Finanzen nicht verfügbar,Intranet ist seit 2 Stunden nicht verfügbar. Finanzen kann sich nicht anmelden und Bestellabwicklung nicht ausführen.,hoch
TKT-0195,Optional: neue Berechtigung für Backup-System,"Die Funktion neue Berechtigung wäre optional für Management. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0044,Ausfall von VPN im Standort Berlin,"Es liegt ein kompletter Ausfall von VPN vor. Seit 20 Minuten ist der Dienst im Standort Berlin nicht erreichbar, wodurch Schichtplanung nicht mehr möglich ist.",hoch
TKT-0163,Information zu Lizenzmodell in VPN,Wir benötigen lediglich eine Information zu Lizenzmodell in VPN. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0005,Störung bei E-Mail im Head Office,Wir haben eine anhaltende Störung in E-Mail. Seit Schichtbeginn kommt es zu Login-Fehler; der Ablauf in HR ist stark eingeschränkt.,hoch
TKT-0028,Produktionsstillstand wegen Problemen mit Netzlaufwerk,"Durch Probleme mit Netzlaufwerk besteht Produktionsstillstand. Der Prozess Anmeldung steht, und im Produktivbetrieb können keine Vorgänge mehr bearbeitet werden.",hoch
TKT-0185,Optional: Archivsuche für Dateiserver,"Die Funktion Archivsuche wäre optional für Logistik. Falls Kapazität vorhanden ist, kann das Thema aufgenommen werden; andernfalls auch zu einem späteren Zeitpunkt.",niedrig
TKT-0080,Verdacht auf Datenverlust in ERP,"In ERP fehlen seit Schichtbeginn Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Finanzen wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0091,Kritisch: SSO verursacht massive Probleme in Finanzen,Der Vorfall ist kritisch. In SSO treten Timeouts auf und mehrere Nutzer aus Finanzen können Anmeldung nicht mehr ausführen. Der Betrieb im Standort Berlin ist deutlich beeinträchtigt.,hoch
TKT-0077,Blockiert: Zugriff auf Ticketsystem für Vertrieb,Mehrere Konten sind blockiert und der Zugriff auf Ticketsystem ist nicht möglich. Vertrieb ist dadurch vollständig blockiert.,hoch
TKT-0082,Dringend: Firewall muss umgehend geprüft werden,"Bitte dringend bearbeiten. Firewall zeigt Fehlermeldungen, wodurch Einkauf aktuell nicht produktiv arbeiten kann. Eine schnelle Wiederherstellung ist erforderlich.",hoch
TKT-0014,Ausfall von Drucker im Rechenzentrum,"Es liegt ein kompletter Ausfall von Drucker vor. Seit Schichtbeginn ist der Dienst im Rechenzentrum nicht erreichbar, wodurch Kundensupport nicht mehr möglich ist.",hoch
TKT-0001,Kritisch: SAP verursacht massive Probleme in Support,Der Vorfall ist kritisch. In SAP treten Login-Fehler auf und mehrere Nutzer aus Support können Kundensupport nicht mehr ausführen. Der Betrieb im Head Office ist deutlich beeinträchtigt.,hoch
TKT-0143,Information zu Aufbewahrungsfristen in VPN,Wir benötigen lediglich eine Information zu Aufbewahrungsfristen in VPN. Es liegt keine Störung vor; die Bearbeitung kann später erfolgen.,niedrig
TKT-0086,Active Directory ist für HR nicht verfügbar,Active Directory ist seit heute Morgen nicht verfügbar. HR kann sich nicht anmelden und Schichtplanung nicht ausführen.,hoch
TKT-0127,Optimierung von Drucker,Dieses Ticket betrifft eine Optimierung von Drucker im Bereich Aufbewahrungsfristen. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0100,Verdacht auf Datenverlust in SSO,"In SSO fehlen seit heute Morgen Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Vertrieb wichtige Informationen nicht mehr abrufen kann.",hoch
TKT-0167,Optimierung von SAP,Dieses Ticket betrifft eine Optimierung von SAP im Bereich Aufbewahrungsfristen. Das Thema ist nachrangig und nicht kritisch.,niedrig
TKT-0141,Anfrage zu SAP,Ich habe eine Anfrage zu SAP. Es geht um das Thema Druckereinstellung. Das Ticket ist nicht dringend und kann bei Gelegenheit bearbeitet werden.,niedrig
TKT-0046,CRM ist für Einkauf nicht verfügbar,CRM ist seit 45 Minuten nicht verfügbar. Einkauf kann sich nicht anmelden und Kundensupport nicht ausführen.,hoch
TKT-0200,Nachrangig: Rückfrage zu CRM,Das Anliegen ist ausdrücklich nachrangig. Zu CRM gibt es eine Rückfrage zu Meeting-Aufzeichnung; Bearbeitung im normalen Backlog ist ausreichend.,niedrig
TKT-0020,Verdacht auf Datenverlust in Ticketsystem,"In Ticketsystem fehlen seit 45 Minuten Datensätze. Es besteht der Verdacht auf Datenverlust, wodurch Einkauf wichtige Informationen nicht mehr abrufen kann.",hoch
